Q5,Q7,Q8,Q9,Q15,Q16,Q17,Q20,Q23,Q23_5_TEXT,Q29_1,Q31,Q55,Q35,Q36,Q40_1,Q40_2,Q40_3,Q41_23,Q42_1,Q42_2,Q42_3,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q43_6,Q43_7,Q43_8,Q43_9,Q43_10,Q43_11,Q43_11_TEXT,Q47_1,Q47_2
Engineering/Computer Science,Man,Asian,21,Yes,Absentee / mail ballot,Clinton,Scared,Community engagement,,,Yes; it was counted,Mostly Democrats,Yes,Yes,Somewhat disagree,Somewhat disagree,Strongly disagree,4,Every couple of days,Every day,Never,Very important,Important,Important,Important,Very important,Very important,Important,Moderately important,Moderately important,Moderately important,Moderately important,,Extremely knowledgeable,Extremely knowledgeable
Social Sciences,Man,White,18,,,,Other,Community engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Sciences,Woman,Other Hispanic/Latinx,18,,,,"Proud,Scared,Hopeful",Community engagement,,3,,,I do not remember,Yes,Somewhat agree,Neutral,Somewhat agree,5,Once or twice a year,Once a week,Once or twice a year,Important,Moderately important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Moderately important,Very important,Financial Aid,Moderately knowledgeable,Moderately knowledgeable
Physical Sciences/Mathematics,Woman,Asian,18,,,,Angry,Community engagement,,,,,I do not remember,I do not remember,Strongly agree,Somewhat disagree,Somewhat disagree,3,Once or twice a month,Every couple of days,Never,Very important,Very important,Very important,Very important,Slightly important,Very important,Very important,Moderately important,Very important,Very important,,,,
Arts & Humanities,Woman,Mixed Race,18,,,,"Sad,Angry",Community engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Sciences,Man,Asian,18,,,,"Sad,Scared,Angry",Volunteering,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Sciences,Woman,Asian,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering/Computer Science,Man,Asian,20,,,,"Sad,Scared,Angry",Community engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business,Woman,Asian,19,,,,Angry,Volunteering,,,,,I do not remember,,,,,,,,,,,,,,,,,,,,,Moderately knowledgeable,Moderately knowledgeable
Life Sciences,Man,White,21,Yes,Polling station,Clinton,Excited,Volunteering,,,No; I do not know how,Mostly Democrats,I do not remember,No,Somewhat agree,Strongly disagree,Strongly disagree,5,Once a week,Every couple of days,Once or twice a month,Important,Important,Moderately important,Slightly important,Very important,Slightly important,Not important,Very important,Important,Slightly important,,,,
Life Sciences,Woman,Asian,20,Yes,Polling station,Clinton,"Sad,Scared,Angry",Community engagement,,4,No; I did not check,Only Democrats,No,No,Somewhat agree,Somewhat agree,Neutral,,,,,,,,,,,,,,,,,,
Engineering/Computer Science,Man,Asian,19,,,,Other,Community engagement,,1,No; I do not know how,A mix of candidates,Yes,No,Strongly agree,Strongly disagree,Strongly disagree,6,Every couple of days,Every couple of days,Never,Important,Moderately important,Moderately important,Very important,Very important,Moderately important,Moderately important,Moderately important,Slightly important,Moderately important,Moderately important,National Security,Moderately knowledgeable,Moderately knowledgeable
Physical Sciences/Mathematics,Man,White,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Sciences,Man,Asian,20,,,,Other,Volunteering,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering/Computer Science,Man,Asian,21,No,,,Other,Community engagement,,2,No; I do not know how,Mostly Democrats,Yes,I do not remember,Strongly agree,Somewhat agree,Strongly disagree,4,Once a week,Every couple of days,Never,Very important,Important,Important,Slightly important,Moderately important,Important,Moderately important,Important,Moderately important,Moderately important,Not important,,Moderately knowledgeable,Moderately knowledgeable
Social Sciences,Woman,White,19,,,,"Scared,Angry,Other",Community engagement,,,No; I did not check,Only Democrats,I do not remember,No,Strongly agree,Somewhat agree,Somewhat disagree,4,Every couple of days,Once a week,Never,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,Very important,Important,,,Slightly knowledgeable,Slightly knowledgeable
Arts & Humanities,Woman,Asian,19,,,,"Sad,Scared",Community engagement,,,No; I did not check,Mostly Democrats,No,No,Somewhat agree,Somewhat agree,Strongly agree,2,Once or twice a month,Once or twice a month,Never,Important,Very important,Very important,Important,Slightly important,Very important,Important,Moderately important,Very important,Very important,Moderately important,,Moderately knowledgeable,Slightly knowledgeable
Engineering/Computer Science,Man,Asian,19,,,,Sad,Voting,,2,Yes; it was counted,Mostly Republicans,No,No,Somewhat agree,Strongly disagree,Strongly disagree,7,Once a week,Once a week,Once or twice a month,Slightly important,Moderately important,Important,Very important,Very important,Moderately important,Not important,Important,Important,Not important,,,,
Social Sciences,Woman,Asian,20,Yes,Polling station,Clinton,"Sad,Scared,Angry,Other",Community engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering/Computer Science,Man,Asian,18,,,,Scared,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Humanities,Woman,Mixed Race,25+,No,I do not remember,,Sad,Volunteering,,3,No; I do not know how,Mostly Democrats,No,I do not remember,Neutral,Somewhat agree,Neutral,6,Once or twice a year,Once or twice a year,Never,Very important,Important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Not knowledgeable at all,Not knowledgeable at all
Arts & Humanities,Woman,Asian,21,,,,Excited,Other,,,,,I do not remember,No,Neutral,Neutral,Neutral,4,Once or twice a month,Once or twice a month,Once or twice a month,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,,Slightly knowledgeable,Slightly knowledgeable
Engineering/Computer Science,Man,Asian,22,Yes,Absentee / mail ballot,Clinton,Scared,Community engagement,,3,No; I do not know how,Mostly Democrats,No,No,Somewhat agree,Somewhat agree,Somewhat disagree,3,Once or twice a month,Once a week,Once a week,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,Moderately knowledgeable,Moderately knowledgeable
Arts & Humanities,Man,White,20,Yes,Polling station,Clinton,Excited,Volunteering,,,No; I did not check,Mostly Democrats,I do not remember,No,Strongly agree,Somewhat disagree,Strongly disagree,4,Once a week,Every day,Never,Important,Moderately important,Slightly important,Not important,Important,Important,Very important,Important,Very important,Moderately important,Not important,,Slightly knowledgeable,Very knowledgeable
Social Sciences,Woman,Mixed Race,20,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Community engagement,,,No; I do not know how,Only Democrats,Yes,I do not remember,Somewhat agree,Somewhat agree,Somewhat agree,2,Every couple of days,Every couple of days,Once or twice a year,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Disability rights,Moderately knowledgeable,Not knowledgeable at all
Business,Woman,Decline to state,19,,,,"Sad,Scared,Other",Community engagement,,,,,I do not remember,No,Strongly agree,Somewhat agree,Somewhat disagree,3,Once a week,Once a week,Never,Very important,Very important,Important,Very important,Important,Important,Very important,Important,Very important,Very important,,,Not knowledgeable at all,Slightly knowledgeable
Social Sciences,Man,Mexican American/Chicanx,20,No,I do not remember,3rd party,Hopeful,Community engagement,,1,No; I did not check,Mostly Democrats,Yes,Yes,Strongly agree,Strongly disagree,Somewhat disagree,6,Once or twice a month,Once or twice a month,Once or twice a year,Very important,Moderately important,Moderately important,Moderately important,Very important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,,Slightly knowledgeable,Moderately knowledgeable
Business,Man,Mixed Race,24,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Sciences,Man,White,19,,,,Angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering/Computer Science,Woman,Asian,19,,,,Scared,Community engagement,,4,,,I do not remember,Yes,Somewhat agree,Strongly agree,Neutral,3,Once or twice a month,Once a week,Never,Very important,Very important,Important,Important,Moderately important,Important,Important,Moderately important,Slightly important,Slightly important,,,Slightly knowledgeable,Slightly knowledgeable
Engineering/Computer Science,Woman,Asian,21,,,,Scared,Voting,,3,,,No,I do not remember,Neutral,Neutral,Somewhat disagree,6,Once a week,Once or twice a year,Once or twice a month,Important,Moderately important,Slightly important,Moderately important,Moderately important,Important,Slightly important,Important,Moderately important,Important,Slightly important,,Very knowledgeable,Moderately knowledgeable
Social Sciences,Gender non-binary,Other Hispanic/Latinx,20,Yes,Provisional ballot,Clinton,"Sad,Scared,Angry,Other",Community engagement,,,No; I did not check,Only Democrats,I do not remember,No,Somewhat agree,Strongly agree,Somewhat agree,1,Every day,Every couple of days,Never,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,Very important,Very important,,,Extremely knowledgeable,Extremely knowledgeable
Social Sciences,Woman,Asian,21,Yes,Absentee / mail ballot,Clinton,Scared,Voting,,4,No; I do not know how,Only Democrats,Yes,No,Strongly agree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,,,,,
Engineering/Computer Science,Woman,Mixed Race,18,,,,"Sad,Scared,Angry,Other",Volunteering,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Sciences,Man,Mexican American/Chicanx,19,,,,"Sad,Angry,Other",Community engagement,,1,No; I did not check,Only Democrats,No,No,Somewhat disagree,Strongly disagree,Strongly disagree,4,Every couple of days,Every couple of days,Once or twice a year,Very important,Important,Slightly important,Important,Very important,Very important,Moderately important,Very important,Important,Slightly important,Very important,Union\workers rights,Extremely knowledgeable,Extremely knowledgeable
Engineering/Computer Science,Man,Asian,18,,,,"Sad,Scared,Angry",Donating money,,3,Yes; it was counted,,,,,,,,,,,,,,,,,,,,,,,,
Social Sciences,Woman,Mexican American/Chicanx,20,No,I do not remember,Clinton,Angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business,Man,White,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering/Computer Science,Man,Mixed Race,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry,Other",Voting,,,No; I did not check,,,,,,,,,,,,,,,,,,,,,,,,
Life Sciences,Woman,White,19,,,,"Sad,Scared,Angry",Donating money,,,No; I did not check,Only Democrats,No,No,Strongly agree,Somewhat agree,Neutral,2,Once a week,Once a week,Once or twice a month,Very important,Very important,Very important,Very important,Important,Important,Very important,Very important,Very important,Very important,Not important,,Moderately knowledgeable,Moderately knowledgeable
Life Sciences,Gender queer,White,18,,,,"Sad,Scared,Angry,Other",Community engagement,,3,Yes; it was counted,Mostly Democrats,Yes,No,Neutral,Neutral,Neutral,1,Every day,Every day,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Education,Very knowledgeable,Extremely knowledgeable
Life Sciences,Woman,Pacific Islander,19,,,,"Scared,Hopeful",Donating money,,,Yes; it was counted,Mostly Democrats,No,No,Strongly agree,Strongly agree,Somewhat agree,5,Every couple of days,Every day,Never,Very important,Very important,Very important,Important,Important,Very important,Very important,Moderately important,Very important,Very important,Not important,,Moderately knowledgeable,Very knowledgeable
Life Sciences,Woman,Asian,18,,,,Sad,Community engagement,,3,No; I did not check,Mostly Democrats,I do not remember,No,Strongly agree,Strongly agree,Strongly agree,5,Once a week,Once a week,Once or twice a month,Very important,Very important,Very important,Important,Important,Very important,Very important,Important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Arts & Humanities,Woman,Asian,19,,,,Other,Volunteering,,,,,No,No,Strongly agree,Somewhat disagree,Somewhat disagree,5,Never,Never,Never,Important,Important,Moderately important,Important,Important,Important,Very important,Important,Important,Important,Not important,,Not knowledgeable at all,Not knowledgeable at all
Life Sciences,Woman,White,21,,,,"Sad,Scared,Angry",Community engagement,,4,No; I do not know how,Mostly Democrats,I do not remember,I do not remember,Somewhat agree,Neutral,Somewhat disagree,5,Once or twice a month,Once or twice a month,Never,Very important,Very important,Very important,Moderately important,Moderately important,Moderately important,Important,Moderately important,Moderately important,Important,Not important,,Slightly knowledgeable,Not knowledgeable at all
Life Sciences,Woman,White,18,,,,Sad,Community engagement,,,,,No,No,Strongly agree,Strongly agree,Neutral,4,Every couple of days,Every couple of days,Never,Important,Important,Important,Very important,Very important,Very important,Very important,Important,Very important,Important,Important,Education,Not knowledgeable at all,
Life Sciences,Man,Asian,19,,,,Other,Community engagement,,,,,I do not remember,I do not remember,Strongly agree,Strongly agree,Neutral,5,Once or twice a year,Once or twice a month,Never,Very important,Important,Very important,Important,Very important,Very important,Very important,Important,Very important,Very important,Not important,,Not knowledgeable at all,Moderately knowledgeable
Physical Sciences/Mathematics,Man,White,18,,,,"Sad,Scared",Voting,,2,No; I did not check,Mostly Democrats,No,No,Strongly agree,Strongly agree,Somewhat agree,3,Once or twice a year,Once a week,Once or twice a year,Very important,Important,Important,Important,Moderately important,Important,Very important,Moderately important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Arts & Humanities,Woman,Mixed Race,19,,,,"Sad,Scared,Angry",Voting,,2,No; I do not know how,Only Democrats,Yes,No,Strongly agree,Somewhat agree,Somewhat agree,2,Every couple of days,Every day,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Important,Very important,Very important,,,Moderately knowledgeable,Extremely knowledgeable
Life Sciences,Woman,White,21,Yes,Absentee / mail ballot,Clinton,Sad,Voting,,1,Yes; it was counted,,,,,,,,,,,,,,,,,,,,,,,,
Life Sciences,Man,Asian,19,,,,Other,Community engagement,,,,,Yes,No,Somewhat agree,Strongly disagree,Strongly disagree,8,Once or twice a month,Once or twice a month,Never,Important,Very important,Very important,Important,Very important,Important,Very important,Very important,Very important,Important,,,Not knowledgeable at all,Not knowledgeable at all
